TimestepsSoFar,EpThisIter,EpisodesSoFar,meankl,entloss,optimgain,EpLenMean,TimeElapsed,entropy,explained_variance_tdlam_before,EpRewMean,surrgain
3918848,0,2535,0.0043216366,0.0,0.030190177,3062.625,56706.81236624718,0.81160223,-7.213515281677246,-0.45,0.030190177
3919872,0,2535,0.0055678883,0.0,0.029931828,3062.625,56707.46841597557,0.8900996,-1.5204787254333496,-0.45,0.029931828
3920896,1,2536,0.0062315296,0.0,0.048304155,3062.625,56708.12458920479,0.80053765,-2.3943819999694824,-0.425,0.048304155
3921920,0,2536,0.004390885,0.0,0.03588381,3062.625,56708.77937197685,0.894587,-7.240160942077637,-0.425,0.03588381
3922944,0,2536,0.004502046,0.0,0.028101906,3062.625,56709.43467593193,0.7403351,0.40432560443878174,-0.425,0.028101906
3923968,1,2537,0.013569523,0.0,0.06570558,3008.8,56710.08976769447,0.7097142,-9.54905891418457,-0.45,0.06570558
3924992,0,2537,0.004729208,0.0,0.03966666,3008.8,56710.74480319023,0.7340914,-6.296341419219971,-0.45,0.03966666
3926016,0,2537,0.0069172676,0.0,0.02356819,3008.8,56711.39752411842,0.71363425,0.5316037237644196,-0.45,0.02356819
3927040,1,2538,0.006823874,0.0,0.044300538,3008.8,56712.029483795166,0.72194993,-3.736609935760498,-0.4,0.044300538
3928064,0,2538,0.006556742,0.0,0.037623506,3008.8,56712.661036252975,0.727342,-4.528963565826416,-0.4,0.037623506
3929088,0,2538,0.0068569276,0.0,0.037543584,3008.8,56713.293412685394,0.68097025,0.2700825333595276,-0.4,0.037543584
3930112,1,2539,0.012746624,0.0,0.04528433,3008.8,56713.926634311676,0.7336185,-6.50264835357666,-0.375,0.04528433
3931136,0,2539,0.005885406,0.0,0.029747397,3008.8,56714.55879449844,0.79582715,-6.500999450683594,-0.375,0.029747397
3932160,0,2539,0.013576638,0.0,0.049851697,3008.8,56715.18747973442,0.69855034,-14.068485260009766,-0.375,0.049851697
3933184,1,2540,0.0051143435,0.0,0.04915769,3008.8,56715.81673383713,0.7334215,0.36176759004592896,-0.375,0.04915769
3934208,0,2540,0.0060786507,0.0,0.07606579,3008.8,56716.44985413551,0.6301626,0.2338958978652954,-0.375,0.07606579
3935232,0,2540,0.0060513867,0.0,0.03186042,3008.8,56717.082422971725,0.6022112,0.34691542387008667,-0.375,0.03186042
3936256,1,2541,0.0075984127,0.0,0.062744126,3008.8,56717.71412038803,0.9898577,0.3145231008529663,-0.425,0.062744126
3937280,0,2541,0.004269967,0.0,0.032298036,3008.8,56718.34606266022,0.8063803,0.13635671138763428,-0.425,0.032298036
3938304,0,2541,0.004714864,0.0,0.02268881,3008.8,56718.97830247879,0.9031259,-9.933978080749512,-0.425,0.02268881
3939328,1,2542,0.012976772,0.0,0.034720615,3008.8,56719.604895830154,0.8438922,0.46882307529449463,-0.425,0.034720615
3940352,0,2542,0.0062007345,0.0,0.07826463,3008.8,56720.237473249435,0.5918783,-4.527951240539551,-0.425,0.07826463
