EpLenMean,EpRewMean,loss_pol_surr,loss_kl,ev_tdlam_before,EpThisIter,EpisodesSoFar,loss_vf_loss,TimeElapsed,loss_ent,loss_pol_entpen,TimestepsSoFar
3030.0,-0.41,-0.006610593,0.0023553036,0.7741244733333588,1,1959,0.00043349725,36830.89689922333,1.1071297,0.0,2637824
3030.0,-0.43,-0.007227824,0.0018970465,0.561217188835144,1,1960,0.0005225668,36834.65289592743,1.0224063,0.0,2641920
3030.0,-0.42,-0.007370908,0.002423653,-2.284008026123047,2,1962,0.0002371327,36838.38978433609,1.0922302,0.0,2646016
3030.0,-0.41,-0.006174596,0.0024398325,0.4062451124191284,1,1963,0.0008178064,36842.128073215485,1.10694,0.0,2650112
3030.0,-0.4,-0.009859614,0.0027104155,-1.3747093677520752,2,1965,0.00012952657,36845.863327503204,1.0432731,0.0,2654208
3030.0,-0.41,-0.006004439,0.0022301376,0.5645253360271454,1,1966,0.0008819304,36849.60329914093,1.1056474,0.0,2658304
3030.0,-0.41,-0.008641833,0.003917261,0.29591912031173706,1,1967,0.0010945075,36853.342363357544,1.0893751,0.0,2662400
3030.0,-0.4,-0.009097834,0.0031819097,-1.073728084564209,2,1969,7.490081e-05,36857.156893491745,1.1392132,0.0,2666496
3030.0,-0.43,-0.007049082,0.0026305378,0.4879992604255676,1,1970,0.0023717228,36860.90893507004,1.0735935,0.0,2670592
3030.0,-0.4,-0.005260362,0.001620121,0.36524707078933716,1,1971,0.0016264059,36864.91278576851,1.0098898,0.0,2674688
3030.0,-0.39,-0.007968364,0.0029056123,0.5320292115211487,2,1973,0.0021953965,36869.04497528076,1.0249035,0.0,2678784
3030.0,-0.4,-0.009442055,0.0032375227,-0.984155535697937,1,1974,0.00033759046,36873.179289102554,0.98806477,0.0,2682880
3030.0,-0.4,-0.010294512,0.001779705,-0.9177507162094116,1,1975,7.728736e-05,36877.303861141205,1.0351411,0.0,2686976
3030.0,-0.39,-0.007414329,0.001683635,0.6181666553020477,2,1977,0.0012343421,36881.43571615219,1.0445331,0.0,2691072
3030.0,-0.41,-0.0075748824,0.0024463756,0.6914582550525665,1,1978,0.0019509543,36885.27693557739,1.0204445,0.0,2695168
3028.1,-0.35,-0.008530486,0.0020583316,0.4688592553138733,2,1980,0.0037810842,36889.046429395676,1.0340791,0.0,2699264
3040.0,-0.37,-0.008758047,0.0022964305,-1.4807584285736084,1,1981,0.00021115491,38876.56483411789,1.0483574,0.0,2703360
3030.0,-0.34,-0.0052429964,0.0017938827,0.40983474254608154,1,1982,0.0012692221,38880.70814204216,1.0254631,0.0,2707456
3030.0,-0.34,-0.0083727455,0.0016465909,0.14404422044754028,1,1983,0.0013387401,38884.84431695938,1.0635052,0.0,2711552
3030.0,-0.35,-0.008183067,0.002616753,0.295310378074646,2,1985,0.0014957788,38888.97334384918,1.077869,0.0,2715648
3030.0,-0.35,-0.0072450098,0.0020332432,0.36297327280044556,1,1986,0.0016313995,38893.098273038864,1.0042509,0.0,2719744
3030.0,-0.34,-0.005931274,0.0020471872,0.35895198583602905,1,1987,0.00072057697,38897.2210381031,0.9894985,0.0,2723840
3030.0,-0.32,-0.008567903,0.002471475,0.2745988368988037,2,1989,0.0009365128,38901.34170746803,1.0297405,0.0,2727936
