loss_pol_surr,TimestepsSoFar,loss_kl,EpThisIter,EpLenMean,loss_pol_entpen,loss_ent,EpisodesSoFar,EpRewMean,TimeElapsed,loss_vf_loss,ev_tdlam_before
-0.04085518,13684736,0.025897432,2,2209.76,0.0,0.5318066,13508,0.58,21906.828844070435,0.0061756237,0.6835001707077026
-0.036702998,13688832,0.023415716,1,2221.02,0.0,0.5296189,13509,0.54,21911.735290050507,0.009564254,0.6366738080978394
-0.03769039,13692928,0.0245442,2,2244.88,0.0,0.51489854,13511,0.47,21916.518591165543,0.00816188,0.5844760835170746
-0.038666118,13697024,0.022380857,1,2256.92,0.0,0.5191464,13512,0.45,21921.30609035492,0.0065634036,0.567967414855957
-0.035512898,13701120,0.022617735,1,2263.59,0.0,0.51429725,13513,0.48,21949.17255282402,0.0111700995,0.670257180929184
-0.037907097,13705216,0.021945832,2,2302.33,0.0,0.5478139,13515,0.46,21955.942494630814,0.0087636765,0.6206598579883575
-0.03828446,13709312,0.022264412,2,2306.09,0.0,0.51113623,13517,0.43,21962.02810525894,0.00843271,0.6862249970436096
-0.034897868,13713408,0.02088042,2,2307.54,0.0,0.500898,13519,0.51,21967.629792690277,0.008039415,0.6919385194778442
-0.037354957,13717504,0.021298742,1,2323.12,0.0,0.51458347,13520,0.49,21972.651993513107,0.0058749057,0.6529778838157654
-0.040377803,13721600,0.02602546,2,2321.05,0.0,0.5633312,13522,0.49,21977.52955698967,0.009505236,0.7053246796131134
-0.037331253,13725696,0.02236157,2,2321.78,0.0,0.536655,13524,0.47,21982.319715976715,0.008006132,0.6753877699375153
-0.037696708,13729792,0.023692371,2,2353.52,0.0,0.52713335,13526,0.43,21987.116816282272,0.0074760523,0.517144501209259
-0.035622273,13733888,0.02585081,1,2363.37,0.0,0.52610517,13527,0.41,21991.899792909622,0.009074977,0.6762965023517609
-0.037449088,13737984,0.025995288,1,2373.85,0.0,0.537225,13528,0.38,21996.727488279343,0.00902978,0.5168962776660919
-0.037393007,13742080,0.024121448,3,2337.15,0.0,0.5364991,13531,0.39,22001.520195961,0.011395488,0.6468687653541565
-0.03999755,13746176,0.025244894,2,2341.0,0.0,0.5398471,13533,0.4,22006.313975572586,0.004777587,0.6327471137046814
-0.040490113,13750272,0.023226079,2,2333.24,0.0,0.5345343,13535,0.29,22011.097737789154,0.006848466,0.6434373259544373
-0.0351664,13754368,0.022071593,2,2327.84,0.0,0.53688544,13537,0.3,22016.889575958252,0.012237405,0.5279719233512878
-0.035297032,13758464,0.02127356,2,2317.07,0.0,0.5283899,13539,0.29,22023.0292801857,0.011233247,0.5205070674419403
-0.03737475,13762560,0.022017006,2,2306.43,0.0,0.5269976,13541,0.27,22029.064093351364,0.011143661,0.6665565073490143
-0.03793419,13766656,0.023681296,2,2297.3,0.0,0.516697,13543,0.29,22034.965528011322,0.008245371,0.5891701281070709
-0.032687403,13770752,0.021997193,1,2318.56,0.0,0.5203375,13544,0.34,22040.69867992401,0.009430025,0.615399569272995
-0.04257159,13774848,0.028282018,2,2329.79,0.0,0.52404404,13546,0.42,22045.901001930237,0.007368637,0.6290062069892883
