EpisodesSoFar,loss_vf_loss,EpLenMean,EpThisIter,loss_kl,loss_pol_surr,loss_pol_entpen,TimestepsSoFar,TimeElapsed,ev_tdlam_before,loss_ent,EpRewMean
1131,0.009879992,647.47,6,0.0067997817,-0.0032792496,0.0,729088,1810.5520918369293,0.8606299161911011,0.57139796,-4.75
1137,0.009761607,656.5,6,0.0047064107,-0.004787032,0.0,733184,1817.8187062740326,0.8551417291164398,0.57404065,-4.76
1144,0.013190908,653.63,7,0.0051015615,-0.0053533576,0.0,737280,1825.1025652885437,0.8157801777124405,0.56810766,-4.77
1150,0.009369219,648.68,6,0.005500417,-0.0037128346,0.0,741376,1832.466403245926,0.873135894536972,0.5599807,-4.82
1157,0.009185764,642.89,7,0.0048421347,-0.0056405575,0.0,745472,1839.716514825821,0.8862248808145523,0.56229377,-4.86
1163,0.009587587,642.21,6,0.0064990427,-0.005194072,0.0,749568,1847.2065949440002,0.8518737256526947,0.55520177,-4.87
1169,0.011641431,645.56,6,0.0062433057,-0.005763239,0.0,753664,1854.8414046764374,0.8463380038738251,0.533234,-4.86
1176,0.009268341,640.49,7,0.006730159,-0.0063914456,0.0,757760,1862.203483581543,0.8774986192584038,0.55659455,-4.86
1183,0.009821658,637.0,7,0.0051426897,-0.006963566,0.0,761856,1869.5416045188904,0.8600772768259048,0.5431958,-4.86
1190,0.011087581,637.76,7,0.0063455193,-0.006195264,0.0,765952,1876.9533383846283,0.8257013857364655,0.51604253,-4.84
1196,0.0116645675,643.87,6,0.0053493753,-0.0048495764,0.0,770048,1884.5005939006805,0.833766907453537,0.53226537,-4.84
1202,0.010165224,640.31,6,0.0066215736,-0.0026334939,0.0,774144,1892.04616189003,0.8702112585306168,0.5107273,-4.85
1209,0.01296189,642.25,7,0.0062471414,-0.007802194,0.0,778240,1900.8680791854858,0.8302819579839706,0.5199729,-4.85
1215,0.009629269,644.73,6,0.0051059187,-0.0027975903,0.0,782336,1908.4496874809265,0.8537797778844833,0.52923083,-4.86
1222,0.01023142,640.96,7,0.0060566314,-0.008132977,0.0,786432,1916.0234217643738,0.8699577152729034,0.5306115,-4.86
1229,0.009441271,633.13,7,0.0056816447,-0.0028522012,0.0,790528,1923.532989025116,0.8845955580472946,0.5191534,-4.86
1234,0.009757685,631.3,5,0.0063936925,-0.0029926584,0.0,794624,1930.9507093429565,0.8597438335418701,0.50873876,-4.86
1240,0.008057973,631.54,6,0.005698685,-0.0022484045,0.0,798720,1938.204565525055,0.8822247236967087,0.5239906,-4.87
1246,0.012196601,639.55,6,0.0059489636,-0.0066827564,0.0,802816,2020.559762954712,0.8394922018051147,0.50941795,-4.85
1252,0.01177223,641.36,6,0.0067230035,-0.0053500896,0.0,806912,2027.7977435588837,0.8531367182731628,0.5133594,-4.84
1258,0.009494695,641.43,6,0.008815417,-0.004496166,0.0,811008,2035.100201368332,0.8708586543798447,0.48018312,-4.85
1265,0.009818094,645.1,7,0.0054396135,-0.0036462806,0.0,815104,2042.3677649497986,0.8609403222799301,0.48347092,-4.83
1272,0.013116965,640.51,7,0.0064043747,-0.004755326,0.0,819200,2049.8470208644867,0.8487799763679504,0.47317204,-4.81
1279,0.009976416,643.18,7,0.006541621,-0.006442579,0.0,823296,2057.0813398361206,0.8585416376590729,0.50445396,-4.81
1285,0.0096929325,644.03,6,0.005766772,-0.0050540995,0.0,827392,2064.3009967803955,0.8890107646584511,0.49032333,-4.81
1291,0.0086983405,646.1,6,0.0061623966,-0.004810183,0.0,831488,2071.5007808208466,0.8882709816098213,0.4882953,-4.84
1298,0.010564785,638.68,7,0.0062514683,-0.006378279,0.0,835584,2078.742189645767,0.8681959807872772,0.46165672,-4.85
