EpLenMean,TimestepsSoFar,loss_pol_surr,loss_kl,EpRewMean,loss_vf_loss,loss_pol_entpen,loss_ent,EpThisIter,TimeElapsed,ev_tdlam_before,EpisodesSoFar
2967.21,10231808,-0.02516463,0.0121696275,0.15,0.0020159944,0.0,0.61607647,1,15315.68237566948,0.4858770966529846,5540
2967.21,10235904,-0.025892088,0.011778308,0.14,0.0011262245,0.0,0.6298731,2,15320.896156787872,0.23664718866348267,5542
2967.21,10240000,-0.020493796,0.010703804,0.14,0.0024757655,0.0,0.6022313,1,15326.264714241028,0.3942863345146179,5543
2968.49,10244096,-0.025442697,0.012487073,0.14,0.0038459017,0.0,0.61086196,2,15331.968314886093,0.656375378370285,5545
2968.49,10248192,-0.02465324,0.012975311,0.1,0.004439867,0.0,0.6375373,1,15337.135339975357,0.6754651963710785,5546
2968.49,10252288,-0.025248522,0.014689587,0.14,0.00423471,0.0,0.63224924,1,15342.306896448135,0.6603771448135376,5547
2968.49,10256384,-0.020124422,0.012780224,0.14,0.004882705,0.0,0.59310025,2,15347.684873819351,0.4833846688270569,5549
2978.24,10260480,-0.026981978,0.014450902,0.08,0.0041994,0.0,0.6201557,1,15353.262182235718,0.5461592376232147,5550
2978.24,10264576,-0.026394455,0.012619214,0.07,0.0014573374,0.0,0.6325246,1,15358.790984630585,0.5494979619979858,5551
2978.24,10268672,-0.027526248,0.011295015,0.0,0.0013067764,0.0,0.6152749,2,15364.327493667603,0.5929778814315796,5553
2978.24,10272768,-0.03188483,0.01263075,-0.01,0.00041082336,0.0,0.6230933,1,15369.589870929718,0.14574527740478516,5554
2978.24,10276864,-0.020505631,0.011800462,-0.03,0.004209025,0.0,0.59470695,1,15374.95407652855,0.5540503859519958,5555
2982.9,10280960,-0.026083495,0.011844075,-0.07,0.0034733703,0.0,0.5934881,2,15380.395904064178,0.34559762477874756,5557
2982.9,10285056,-0.024485841,0.013245122,-0.05,0.0039825374,0.0,0.5899101,1,15385.67664861679,0.6959458887577057,5558
2977.08,10289152,-0.024382599,0.010611076,-0.16,0.004771299,0.0,0.6041636,2,15390.943700551987,0.7245736420154572,5560
2977.08,10293248,-0.023861395,0.013196202,-0.14,0.004041108,0.0,0.5968897,1,15396.414231777191,0.4292599558830261,5561
2977.08,10297344,-0.026438978,0.012808561,-0.16,0.0031741008,0.0,0.62494594,1,15401.625074625015,0.7618128061294556,5562
2974.81,10301440,-0.025174126,0.013217087,-0.28,0.0059517873,0.0,0.6094576,2,15406.79295873642,0.7301101386547089,5564
2965.07,10305536,-0.027609326,0.011997192,-0.2,0.0048563285,0.0,0.61368966,2,15412.423466682434,0.5755650699138641,5566
2965.07,10309632,-0.024292316,0.012089645,-0.22,0.0040773763,0.0,0.60106647,1,15417.60185790062,0.7024588286876678,5567
2965.07,10313728,-0.026972195,0.011125731,-0.2,0.0014612436,0.0,0.62859124,1,15422.777455568314,0.6142104864120483,5568
2965.07,10317824,-0.024004964,0.011387766,-0.22,0.0035879805,0.0,0.61509484,2,15428.266254663467,0.7076992392539978,5570
2965.07,10321920,-0.024955347,0.010939093,-0.19,0.0023467967,0.0,0.61382586,1,15433.622610807419,0.640802651643753,5571
2965.07,10326016,-0.02555699,0.013301053,-0.19,0.0038063081,0.0,0.6191406,1,15438.837300300598,0.649747759103775,5572
2965.07,10330112,-0.0279298,0.012032469,-0.18,0.003560351,0.0,0.6066071,2,15444.014036178589,0.5823931694030762,5574
2965.07,10334208,-0.028415458,0.014522515,-0.16,0.004884682,0.0,0.6133488,1,15449.888323545456,0.6038551032543182,5575
2965.07,10338304,-0.028455567,0.013413002,-0.18,0.0046153734,0.0,0.61466736,1,15455.810403347015,0.6345781981945038,5576
2965.07,10342400,-0.022299787,0.011098214,-0.19,0.003870445,0.0,0.60817236,2,15461.36747264862,0.5231662690639496,5578
2965.07,10346496,-0.025053363,0.014425371,-0.19,0.007373414,0.0,0.5820506,1,15466.86352610588,0.5864313840866089,5579
2960.6,10350592,-0.026561406,0.013941156,-0.15,0.001911151,0.0,0.60768247,2,15472.513405561447,0.07356482744216919,5581
2960.6,10354688,-0.024815556,0.010906104,-0.14,0.0011170586,0.0,0.61283267,1,15477.731317281723,0.4818638563156128,5582
2960.6,10358784,-0.022368072,0.011043323,-0.1,0.003274329,0.0,0.5937607,1,15482.922357082367,0.6160630881786346,5583
2960.6,10362880,-0.024834394,0.011404819,-0.1,0.0014733168,0.0,0.6188603,2,15488.115198850632,0.7024234533309937,5585
2960.6,10366976,-0.023265604,0.010661483,-0.1,0.0008018933,0.0,0.63615113,1,15493.298372268677,0.31474941968917847,5586
2960.6,10371072,-0.02195654,0.012932667,-0.12,0.0042233123,0.0,0.5923597,2,15498.818999767303,0.6659955382347107,5588
2961.75,10375168,-0.02447981,0.012159535,-0.19,0.001900762,0.0,0.61169255,1,15504.060988664627,0.6414604187011719,5589
2961.75,10379264,-0.019858005,0.012754674,-0.21,0.0040790457,0.0,0.6125496,1,15509.40362405777,0.3423517346382141,5590
2961.75,10383360,-0.023126224,0.012407757,-0.16,0.0007347275,0.0,0.6238399,2,15514.590373516083,0.461672842502594,5592
2961.75,10387456,-0.022171859,0.013040192,-0.15,0.0037244414,0.0,0.6276382,1,15520.240043401718,0.45605093240737915,5593
2948.2,10391552,-0.022200719,0.010320985,-0.2,0.002389543,0.0,0.61311996,2,15525.605448961258,0.6855847537517548,5595
2948.2,10395648,-0.024961498,0.0126942955,-0.19,0.0039390223,0.0,0.59764004,1,15531.229333877563,0.5609809458255768,5596
2948.2,10399744,-0.024583241,0.011884707,-0.16,0.0033286316,0.0,0.62273115,2,15536.497813940048,0.5779593288898468,5598
2948.2,10403840,-0.026851263,0.013698097,-0.17,0.0046649487,0.0,0.6279628,1,15542.057508707047,0.6514637768268585,5599
2946.34,10407936,-0.024207078,0.011781355,-0.14,0.004099149,0.0,0.6318813,1,15547.48239684105,0.6545712053775787,5600
2946.34,10412032,-0.02432964,0.0129769305,-0.11,0.0048413766,0.0,0.61348486,2,15552.936589956284,0.6247151494026184,5602
2946.34,10416128,-0.026340457,0.013413886,-0.11,0.0037905814,0.0,0.6278751,1,15558.106480836868,0.5807554721832275,5603
2942.48,10420224,-0.022344371,0.009246441,-0.04,0.0044664266,0.0,0.58934844,2,15563.297340393066,0.4883813261985779,5605
2942.48,10424320,-0.025377749,0.011276396,-0.03,0.004204846,0.0,0.61132634,1,15568.798871040344,0.6002297103404999,5606
2942.48,10428416,-0.026909333,0.0128047615,-0.01,0.005532971,0.0,0.62653714,1,15574.068175792694,0.4423462152481079,5607
2942.48,10432512,-0.02395049,0.011007482,-0.02,0.003584567,0.0,0.6164151,2,15579.246557712555,0.5890097916126251,5609
2942.48,10436608,-0.024195312,0.010122534,-0.01,0.0016613016,0.0,0.6139226,1,15584.62195611,0.6542949080467224,5610
2942.48,10440704,-0.024835302,0.011816376,0.02,0.0015149091,0.0,0.61477727,1,15590.350680351257,0.541172593832016,5611
2943.91,10444800,-0.02240082,0.01301744,0.06,0.0027422789,0.0,0.60734093,2,15595.543804645538,0.5537771284580231,5613
2943.91,10448896,-0.024666967,0.011696271,0.08,0.0034272666,0.0,0.6138799,1,15600.958201408386,0.6592013239860535,5614
2943.91,10452992,-0.02464665,0.0127299465,0.08,0.0045912983,0.0,0.59237295,1,15606.230336427689,0.5419610440731049,5615
2957.58,10457088,-0.023162927,0.0138286045,0.1,0.0045858608,0.0,0.6079832,2,15611.652001857758,0.45386070013046265,5617
2957.58,10461184,-0.025365064,0.012095927,0.11,0.002280449,0.0,0.6166432,1,15616.853590488434,0.46451741456985474,5618
2957.58,10465280,-0.024302173,0.013778842,0.17,0.0052383877,0.0,0.6028466,2,15622.340497493744,0.6875431537628174,5620
2957.58,10469376,-0.02409242,0.012279987,0.18,0.0077851154,0.0,0.61786145,1,15627.524234294891,0.5412926971912384,5621
