fps,explained_variance,nupdates,value_loss,policy_entropy,total_timesteps,ep_reward_mean,ep_len_mean
686,0.683093786239624,16700,9.461307490710169e-05,2.0407681465148926,83500,-4.83,604.24
686,-1.6260383129119873,16800,0.0005895934300497174,2.0721263885498047,84000,-4.83,605.98
685,-4.04802131652832,16900,0.0001482661027694121,2.061718225479126,84500,-4.83,605.57
685,0.013056933879852295,17000,0.31596335768699646,2.0422475337982178,85000,-4.83,609.32
686,0.0924752950668335,17100,0.0005202935426495969,2.014052391052246,85500,-4.84,607.94
686,-29.568742752075195,17200,0.0008413425530306995,2.0687365531921387,86000,-4.84,607.94
685,-1.1550791263580322,17300,0.00036839584936387837,2.03910493850708,86500,-4.86,609.05
685,-16.627931594848633,17400,0.00018128834199160337,2.0711441040039062,87000,-4.86,610.87
685,0.8972446694970131,17500,1.1119863302155863e-05,2.0475285053253174,87500,-4.87,609.87
684,-30757.26953125,17600,0.1652853786945343,2.037557363510132,88000,-4.87,609.87
685,-11.812009811401367,17700,0.0008044899441301823,2.0730769634246826,88500,-4.87,614.15
685,-3.3436474800109863,17800,0.00027661368949338794,2.0760345458984375,89000,-4.87,614.49
683,0.48059630393981934,17900,0.00010087634291267022,2.0641539096832275,89500,-4.87,614.49
682,0.6654088795185089,18000,1.745475128700491e-05,2.063645362854004,90000,-4.87,619.07
682,-4.869533538818359,18100,0.0007052111905068159,2.047797679901123,90500,-4.87,619.07
682,-35.49481201171875,18200,0.0012611316051334143,2.0721595287323,91000,-4.87,621.93
682,-0.5091465711593628,18300,0.0007391156395897269,2.0169851779937744,91500,-4.88,622.05
682,-4.544164657592773,18400,0.0027543597389012575,2.067214250564575,92000,-4.88,622.05
681,-1.0452582836151123,18500,0.0009667224949225783,2.0472233295440674,92500,-4.88,623.38
676,0.5201826989650726,18600,2.5280571207986213e-05,2.0169641971588135,93000,-4.88,623.38
663,-0.019521117210388184,18700,0.0003105491050519049,2.037947416305542,93500,-4.87,625.59
642,-34.68783950805664,18800,0.0010136023629456758,2.0767931938171387,94000,-4.87,625.59
631,-4.752537250518799,18900,9.158156899502501e-05,2.074164628982544,94500,-4.86,628.88
630,-3.900211811065674,19000,0.00019815596169792116,2.0640740394592285,95000,-4.86,629.81
630,-0.45589661598205566,19100,0.0004168367595411837,2.0421135425567627,95500,-4.86,632.86
630,-2.3589723110198975,19200,0.0009332782356068492,2.064411163330078,96000,-4.86,632.48
630,-5.435068130493164,19300,0.0001878253824543208,2.047203779220581,96500,-4.86,632.48
630,-1610.4344482421875,19400,0.1458279937505722,2.059342622756958,97000,-4.85,636.25
631,-1.0860235691070557,19500,0.0008641278254799545,2.0701987743377686,97500,-4.85,631.38
632,0.9250190630555153,19600,5.302946192387026e-06,2.030726909637451,98000,-4.86,629.63
634,0.3551029562950134,19700,0.00010615600331220776,1.999281883239746,98500,-4.86,631.23
635,0.5346532762050629,19800,8.262701885541901e-05,2.072495698928833,99000,-4.86,631.23
636,0.6287326514720917,19900,0.0005676980363205075,2.067152500152588,99500,-4.86,633.93
