loss_vf_loss,EpThisIter,EpisodesSoFar,loss_pol_entpen,ev_tdlam_before,EpRewMean,loss_kl,loss_ent,TimestepsSoFar,TimeElapsed,loss_pol_surr,EpLenMean
0.00020234767,1,19172,0.0,0.33952558040618896,0.02,0.0017785552,0.54972196,33296384,102859.55078268051,-0.0047151805,3010.0
6.658973e-05,2,19174,0.0,-2.006558895111084,0.03,0.0032438121,0.5341172,33300480,102871.04542398453,-0.0047358847,3010.0
0.0020405788,1,19175,0.0,0.1831989884376526,0.01,0.0023537653,0.5431944,33304576,102882.60217261314,-0.0066277133,3000.0
0.0013102812,1,19176,0.0,0.3303288221359253,-0.01,0.001777059,0.52482265,33308672,102894.4247777462,-0.004597891,3000.0
0.0032466224,2,19178,0.0,0.38481658697128296,0.01,0.004487625,0.5357167,33312768,102906.1106903553,-0.006841839,3000.0
0.0011645384,1,19179,0.0,0.4278845191001892,-0.01,0.003242665,0.53067154,33316864,102918.55220603943,-0.0081746755,3000.0
0.0023133834,1,19180,0.0,0.10112076997756958,-0.03,0.0029429533,0.5372709,33320960,102931.32442760468,-0.0058946544,3000.0
0.0014168533,2,19182,0.0,0.05526018142700195,-0.01,0.0029586852,0.5380576,33325056,102942.39144515991,-0.0076320674,3000.0
0.00010152976,1,19183,0.0,-2.412656784057617,-0.01,0.0021525794,0.546617,33329152,102953.76822733879,-0.006411551,3000.0
0.0013663801,2,19185,0.0,0.2092885971069336,0.02,0.003296327,0.5537285,33333248,102964.70531797409,-0.006531774,3000.0
0.0019403921,1,19186,0.0,0.39065349102020264,0.04,0.0025884598,0.56049716,33337344,102975.66051793098,-0.005121664,3000.0
1.7957995e-05,1,19187,0.0,-2.51798677444458,0.03,0.0023694474,0.54314226,33341440,102987.35773134232,-0.006220134,3000.0
0.0011467712,2,19189,0.0,0.09960222244262695,0.06,0.0021566032,0.53507197,33345536,102998.5270178318,-0.004774276,3000.0
0.001670701,1,19190,0.0,0.09848636388778687,0.06,0.0028609007,0.54803485,33349632,103009.36410140991,-0.0058905636,3000.0
0.0033592358,1,19191,0.0,0.17097777128219604,0.06,0.0025692226,0.5320713,33353728,103020.20260095596,-0.0074474104,3000.0
2.2588225e-05,2,19193,0.0,-6.810559272766113,0.05,0.0024807723,0.5343647,33357824,103031.15037250519,-0.0049819793,3000.0
3.4344426e-05,1,19194,0.0,-9.130220413208008,0.06,0.0017164819,0.53267,33361920,103042.0277891159,-0.003475161,3000.0
4.7853546e-06,2,19196,0.0,-6.8272528648376465,0.04,0.0024556983,0.53580004,33366016,103052.9461824894,-0.004273127,3000.0
0.0038869039,1,19197,0.0,0.19574129581451416,0.02,0.0032389204,0.52393234,33370112,103064.6607670784,-0.005791972,3000.0
0.0010487038,1,19198,0.0,0.7238986790180206,0.02,0.00290604,0.5330536,33374208,103076.12143921852,-0.0068160645,3000.0
0.0022611427,2,19200,0.0,0.31300288438796997,0.04,0.0038250596,0.512816,33378304,103086.97746777534,-0.0056390595,3000.0
0.00020231998,1,19201,0.0,-2.2703237533569336,0.05,0.0033699411,0.5407539,33382400,103099.44458246231,-0.006892526,3000.0
0.0017537676,1,19202,0.0,0.6456441879272461,0.08,0.0028991278,0.53514606,33386496,103110.47220945358,-0.00679923,3000.0
0.00015275842,2,19204,0.0,-2.0064377784729004,0.09,0.0029371013,0.5423952,33390592,103122.15298700333,-0.008466819,3000.0
0.00056494464,1,19205,0.0,0.5099851787090302,0.1,0.0022276286,0.5370379,33394688,103133.47891950607,-0.0056282524,3000.0
6.545695e-05,1,19206,0.0,-0.5878398418426514,0.1,0.0027644667,0.5266914,33398784,103145.28889799118,-0.0073270304,3000.0
7.07169e-05,2,19208,0.0,-0.3310279846191406,0.09,0.003910509,0.5381584,33402880,103157.01325106621,-0.009662053,3000.0
0.00039808944,1,19209,0.0,0.22443902492523193,0.1,0.0017341684,0.5363085,33406976,103168.7214255333,-0.0036314174,3000.0
0.0029892784,2,19211,0.0,0.5097598433494568,0.08,0.0030052713,0.51821786,33411072,103180.43134379387,-0.00721036,3000.0
0.0031128007,1,19212,0.0,0.2743908762931824,0.04,0.0022033937,0.5390027,33415168,103191.63639092445,-0.0054952586,3000.0
0.004211117,1,19213,0.0,0.015755176544189453,0.03,0.0028659767,0.54107165,33419264,103202.69552540779,-0.0085080005,3000.0
